"TOA5","CCR_Met","CR3000","13423","CR3000.Std.32.05","CPU:CCRdam_20250405.CR3","47287","ccre-waterquality"
"TIMESTAMP","RECORD","BattV","PTemp_C","wtr_1","wtr_2","wtr_3","wtr_4","wtr_5","wtr_6","wtr_7","wtr_8","wtr_9","wtr_10","wtr_11","wtr_12","wtr_13","EXO_Date_1","EXO_Time_1","EXO_wtr_1","Cond_1","SpCond_1","TDS_1","dosat_1","doobs_1","Chla_RFU_1","Chla_1","BGAPC_RFU_1","BGAPC_1","fDOM_RFU_1","fDOM_QSU_1","Turbidity_FNU_1","TSS_mgL_1","EXO_pressure_1","EXO_depth_1","EXO_battery_1","EXO_cablepower_1","EXO_wiper_1","EXO_Date_9","EXO_Time_9","EXO_wtr_9","Cond_9","SpCond_9","TDS_9","dosat_9","doobs_9","fDOM_RFU_9","fDOM_QSU_9","EXO_pressure_9","EXO_depth_9","EXO_battery_9","EXO_cablepower_9","EXO_wiper_9","Lvl_psi","Lvl_Temp_C"
"TS","RN","Volts","Deg C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","°C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","psi","deg C"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2025-04-05 15:00:00",0,12.83,34.51,15.27648,13.93316,13.50256,13.14175,12.6816,11.53619,10.59075,9.807337,9.57519,9.160364,9.023676,8.515283,7.926996,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",250405,160014,0,0,0,0,102.29,11.35,6.13,18.39,11.94,8.312,3.2,11.89,1.2,27.59001,7.917223
"2025-04-05 15:10:00",1,12.8,33.71,15.22891,14.01098,13.42901,13.20086,12.5397,11.55523,10.50598,9.814753,9.554651,9.101801,8.95849,8.52099,8.007471,250405,161013,22.611,-0.06,-0.07,-0.04,111.8,9.66,0.42,1.97,7.78,7.71,-0.47,-1.51,16.65,0,0.07,0.049,5.81,11.87,1.2,250405,161033,0,0,0,0,122.95,13.65,-0.45,-1.63,-0.3,-0.212,3.2,11.94,1.2,27.5866,7.922302
"2025-04-05 15:20:00",2,12.82,32.6,15.08822,14.01568,13.33349,13.01568,12.29858,11.60531,10.5809,9.80398,9.570124,9.125452,8.97027,8.517358,7.947046,250405,162013,24.596,-0.07,-0.07,-0.05,114.33,9.520001,0.33,1.6,6.69,6.62,-0.46,-1.47,7.74,0,0.1,0.069,5.8,11.94,1.2,"NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN","NAN",27.59004,7.917798
"2025-04-05 15:30:00",3,12.75,33.18,15.06927,14.05685,13.40814,12.96704,12.39608,11.58312,10.63372,9.921259,9.527979,9.154505,8.980188,8.529078,7.926263,250405,163013,26.353,-0.07,-0.07,-0.05,114.17,9.2,0.38,1.8,6.24,6.17,-0.51,-1.64,7.54,0,0.11,0.081,5.81,11.9,1.2,250405,163033,0,0,0,0,105.92,7.84,-0.71,-2.41,-0.3,-0.214,3.19,12.12,1.08,27.59018,7.918127
"2025-04-05 15:40:00",4,12.79,33.68,15.22692,14.57342,13.41146,13.03533,12.52728,11.72897,10.67523,9.845422,9.555353,9.093286,8.986414,8.515619,7.896203,250405,164013,27.773,-0.07,-0.07,-0.04,113.33,8.91,0.31,1.53,6,5.93,-0.52,-1.67,7.29,0,0.14,0.096,5.8,11.93,1.2,250405,164033,0,0,0,0,111.25,10.28,4.69,14.01,-0.13,-0.091,3.2,12.02,1.2,27.58847,7.904654
"2025-04-05 15:50:00",5,12.82,33.04,18.99438,14.50134,13.37554,12.95593,12.47283,11.65069,10.63146,9.796503,9.527857,9.095331,8.962366,8.473474,7.886713,250405,165013,13.541,97.32,124.59,80.99,127.84,13.3,1.73,7.25,1.03,0.99,5.61,16.72,1.47,0,3.14,2.215,5.8,11.96,1.2,250405,165033,0,0,0,0,95.32,10.41,6.27,18.81,11.94,8.396,3.2,12.12,1.2,27.58984,7.891042
"2025-04-05 16:00:00",6,12.82,33.02,19.62722,14.81134,13.4277,13.00512,12.51266,11.80432,10.68576,9.812128,9.494959,9.076563,8.873286,8.435846,7.881586,250405,170013,13.518,97.48,124.87,81.16,128.55,13.39,1.89,7.92,1.11,1.06,5.56,16.57,1.65,0,3.1,2.184,5.8,11.96,1.2,250405,170033,0,0,0,0,95.41,10.45,6.29,18.87,11.95,8.405,3.2,12.12,1.2,27.59173,7.895327
"2025-04-05 16:10:00",7,12.82,33.09,19.28655,14.49673,13.42962,13.0184,12.51889,11.49215,10.42614,9.720148,9.479639,9.064447,8.815974,8.440424,7.875879,250405,171013,13.506,97.47,124.89,81.18,128.56,13.39,1.75,7.33,1.08,1.04,5.58,16.65,1.51,0,3.09,2.178,5.8,11.96,1.2,250405,171033,0,0,0,0,95.34,10.47,6.29,18.86,11.95,8.403,3.2,12.12,1.2,27.58948,7.888728
